customer_key,customer_id,loyalty_tier,is_loyalty_member,region
1,CUST-000001,Silver,True,East
2,CUST-000002,None,False,South
3,CUST-000003,Silver,True,South
4,CUST-000004,Silver,True,South
5,CUST-000005,None,False,West
6,CUST-000006,None,False,South
7,CUST-000007,None,False,South
8,CUST-000008,None,False,North
9,CUST-000009,None,False,South
10,CUST-000010,None,False,North
11,CUST-000011,None,False,East
12,CUST-000012,None,False,West
13,CUST-000013,Silver,True,South
14,CUST-000014,None,False,West
15,CUST-000015,Gold,True,West
16,CUST-000016,Gold,True,North
17,CUST-000017,Silver,True,East
18,CUST-000018,Gold,True,East
19,CUST-000019,Gold,True,South
20,CUST-000020,None,False,West
21,CUST-000021,Silver,True,South
22,CUST-000022,None,False,North
23,CUST-000023,Silver,True,East
24,CUST-000024,None,False,North
25,CUST-000025,None,False,South
26,CUST-000026,None,False,East
27,CUST-000027,Gold,True,East
28,CUST-000028,None,False,South
29,CUST-000029,None,False,South
30,CUST-000030,None,False,North
31,CUST-000031,None,False,South
32,CUST-000032,Silver,True,East
33,CUST-000033,Silver,True,East
34,CUST-000034,None,False,South
35,CUST-000035,None,False,North
36,CUST-000036,None,False,East
37,CUST-000037,None,False,East
38,CUST-000038,Silver,True,North
39,CUST-000039,Silver,True,East
40,CUST-000040,None,False,North
41,CUST-000041,Silver,True,South
42,CUST-000042,None,False,East
43,CUST-000043,Silver,True,East
44,CUST-000044,None,False,East
45,CUST-000045,Silver,True,West
46,CUST-000046,None,False,North
47,CUST-000047,Gold,True,West
48,CUST-000048,None,False,South
49,CUST-000049,None,False,South
50,CUST-000050,None,False,West
51,CUST-000051,None,False,South
52,CUST-000052,None,False,North
53,CUST-000053,Silver,True,East
54,CUST-000054,Silver,True,East
55,CUST-000055,None,False,East
56,CUST-000056,Silver,True,North
57,CUST-000057,Silver,True,East
58,CUST-000058,None,False,North
59,CUST-000059,None,False,East
60,CUST-000060,None,False,East
61,CUST-000061,None,False,West
62,CUST-000062,Silver,True,West
63,CUST-000063,Gold,True,North
64,CUST-000064,Silver,True,North
65,CUST-000065,None,False,East
66,CUST-000066,Silver,True,West
67,CUST-000067,Silver,True,North
68,CUST-000068,None,False,South
69,CUST-000069,Silver,True,South
70,CUST-000070,None,False,South
71,CUST-000071,None,False,East
72,CUST-000072,None,False,South
73,CUST-000073,None,False,South
74,CUST-000074,Gold,True,West
75,CUST-000075,None,False,South
76,CUST-000076,None,False,North
77,CUST-000077,None,False,West
78,CUST-000078,None,False,South
79,CUST-000079,None,False,West
80,CUST-000080,None,False,West
81,CUST-000081,Silver,True,East
82,CUST-000082,None,False,North
83,CUST-000083,Silver,True,West
84,CUST-000084,None,False,East
85,CUST-000085,Silver,True,South
86,CUST-000086,Silver,True,West
87,CUST-000087,None,False,West
88,CUST-000088,None,False,West
89,CUST-000089,Gold,True,North
90,CUST-000090,None,False,East
91,CUST-000091,Silver,True,South
92,CUST-000092,None,False,North
93,CUST-000093,None,False,South
94,CUST-000094,None,False,North
95,CUST-000095,Gold,True,North
96,CUST-000096,None,False,East
97,CUST-000097,Silver,True,East
98,CUST-000098,Silver,True,South
99,CUST-000099,None,False,North
100,CUST-000100,None,False,West
101,CUST-000101,None,False,East
102,CUST-000102,None,False,East
103,CUST-000103,Silver,True,North
104,CUST-000104,None,False,North
105,CUST-000105,None,False,North
106,CUST-000106,Silver,True,North
107,CUST-000107,Silver,True,West
108,CUST-000108,None,False,South
109,CUST-000109,Silver,True,East
110,CUST-000110,None,False,West
111,CUST-000111,Silver,True,West
112,CUST-000112,None,False,South
113,CUST-000113,None,False,South
114,CUST-000114,None,False,South
115,CUST-000115,Silver,True,North
116,CUST-000116,Silver,True,West
117,CUST-000117,None,False,East
118,CUST-000118,Gold,True,South
119,CUST-000119,Silver,True,East
120,CUST-000120,None,False,East
121,CUST-000121,Silver,True,North
122,CUST-000122,None,False,East
123,CUST-000123,Gold,True,West
124,CUST-000124,None,False,East
125,CUST-000125,None,False,East
126,CUST-000126,None,False,North
127,CUST-000127,None,False,East
128,CUST-000128,Silver,True,West
129,CUST-000129,None,False,South
130,CUST-000130,None,False,East
131,CUST-000131,None,False,East
132,CUST-000132,Gold,True,North
133,CUST-000133,Silver,True,South
134,CUST-000134,None,False,West
135,CUST-000135,None,False,West
136,CUST-000136,None,False,South
137,CUST-000137,Gold,True,South
138,CUST-000138,Silver,True,West
139,CUST-000139,Silver,True,North
140,CUST-000140,Gold,True,South
141,CUST-000141,None,False,North
142,CUST-000142,Silver,True,North
143,CUST-000143,None,False,East
144,CUST-000144,None,False,South
145,CUST-000145,None,False,West
146,CUST-000146,None,False,West
147,CUST-000147,Gold,True,West
148,CUST-000148,None,False,East
149,CUST-000149,Silver,True,East
150,CUST-000150,Silver,True,East
151,CUST-000151,Silver,True,West
152,CUST-000152,Gold,True,North
153,CUST-000153,None,False,East
154,CUST-000154,None,False,North
155,CUST-000155,None,False,South
156,CUST-000156,None,False,South
157,CUST-000157,Gold,True,East
158,CUST-000158,None,False,West
159,CUST-000159,None,False,North
160,CUST-000160,None,False,East
161,CUST-000161,None,False,North
162,CUST-000162,Silver,True,North
163,CUST-000163,None,False,South
164,CUST-000164,Silver,True,East
165,CUST-000165,Silver,True,North
166,CUST-000166,Silver,True,South
167,CUST-000167,None,False,West
168,CUST-000168,Silver,True,South
169,CUST-000169,None,False,West
170,CUST-000170,None,False,West
171,CUST-000171,Silver,True,South
172,CUST-000172,Silver,True,East
173,CUST-000173,None,False,East
174,CUST-000174,Gold,True,South
175,CUST-000175,None,False,South
176,CUST-000176,Silver,True,South
177,CUST-000177,Gold,True,North
178,CUST-000178,None,False,North
179,CUST-000179,Silver,True,South
180,CUST-000180,Silver,True,West
181,CUST-000181,Silver,True,North
182,CUST-000182,Silver,True,North
183,CUST-000183,Silver,True,South
184,CUST-000184,None,False,East
185,CUST-000185,Silver,True,North
186,CUST-000186,None,False,North
187,CUST-000187,Gold,True,North
188,CUST-000188,None,False,South
189,CUST-000189,None,False,North
190,CUST-000190,Gold,True,West
191,CUST-000191,None,False,West
192,CUST-000192,None,False,South
193,CUST-000193,Silver,True,North
194,CUST-000194,None,False,North
195,CUST-000195,None,False,South
196,CUST-000196,None,False,South
197,CUST-000197,None,False,East
198,CUST-000198,None,False,South
199,CUST-000199,None,False,South
200,CUST-000200,None,False,South
201,CUST-000201,None,False,East
202,CUST-000202,None,False,East
203,CUST-000203,Silver,True,North
204,CUST-000204,Silver,True,South
205,CUST-000205,None,False,East
206,CUST-000206,None,False,East
207,CUST-000207,Gold,True,East
208,CUST-000208,Silver,True,East
209,CUST-000209,None,False,East
210,CUST-000210,None,False,South
211,CUST-000211,None,False,East
212,CUST-000212,Silver,True,South
213,CUST-000213,Gold,True,South
214,CUST-000214,Gold,True,North
215,CUST-000215,None,False,South
216,CUST-000216,None,False,North
217,CUST-000217,None,False,North
218,CUST-000218,None,False,South
219,CUST-000219,None,False,East
220,CUST-000220,Silver,True,West
221,CUST-000221,None,False,North
222,CUST-000222,Gold,True,West
223,CUST-000223,None,False,South
224,CUST-000224,None,False,East
225,CUST-000225,Gold,True,East
226,CUST-000226,Silver,True,West
227,CUST-000227,None,False,North
228,CUST-000228,Silver,True,West
229,CUST-000229,None,False,North
230,CUST-000230,None,False,West
231,CUST-000231,None,False,East
232,CUST-000232,None,False,South
233,CUST-000233,Silver,True,South
234,CUST-000234,None,False,North
235,CUST-000235,Silver,True,West
236,CUST-000236,Silver,True,East
237,CUST-000237,None,False,West
238,CUST-000238,None,False,East
239,CUST-000239,None,False,West
240,CUST-000240,Silver,True,West
241,CUST-000241,Silver,True,South
242,CUST-000242,Silver,True,East
243,CUST-000243,None,False,South
244,CUST-000244,None,False,West
245,CUST-000245,None,False,East
246,CUST-000246,None,False,South
247,CUST-000247,Silver,True,East
248,CUST-000248,None,False,South
249,CUST-000249,None,False,East
250,CUST-000250,None,False,South
251,CUST-000251,None,False,South
252,CUST-000252,Silver,True,West
253,CUST-000253,None,False,North
254,CUST-000254,Gold,True,West
255,CUST-000255,Silver,True,North
256,CUST-000256,Gold,True,North
257,CUST-000257,Silver,True,North
258,CUST-000258,Silver,True,North
259,CUST-000259,Silver,True,North
260,CUST-000260,None,False,West
261,CUST-000261,None,False,West
262,CUST-000262,Silver,True,East
263,CUST-000263,None,False,North
264,CUST-000264,None,False,West
265,CUST-000265,Gold,True,East
266,CUST-000266,None,False,East
267,CUST-000267,None,False,West
268,CUST-000268,Silver,True,South
269,CUST-000269,None,False,South
270,CUST-000270,Gold,True,West
271,CUST-000271,None,False,East
272,CUST-000272,Gold,True,East
273,CUST-000273,Silver,True,East
274,CUST-000274,None,False,West
275,CUST-000275,None,False,South
276,CUST-000276,None,False,North
277,CUST-000277,None,False,South
278,CUST-000278,None,False,East
279,CUST-000279,Gold,True,West
280,CUST-000280,None,False,South
281,CUST-000281,Silver,True,East
282,CUST-000282,None,False,West
283,CUST-000283,Gold,True,West
284,CUST-000284,None,False,West
285,CUST-000285,None,False,West
286,CUST-000286,Silver,True,East
287,CUST-000287,None,False,South
288,CUST-000288,Silver,True,South
289,CUST-000289,None,False,East
290,CUST-000290,None,False,North
291,CUST-000291,None,False,East
292,CUST-000292,Silver,True,East
293,CUST-000293,None,False,East
294,CUST-000294,None,False,South
295,CUST-000295,None,False,East
296,CUST-000296,None,False,North
297,CUST-000297,None,False,East
298,CUST-000298,Gold,True,West
299,CUST-000299,None,False,West
300,CUST-000300,Silver,True,West
301,CUST-000301,None,False,South
302,CUST-000302,None,False,North
303,CUST-000303,None,False,East
304,CUST-000304,None,False,North
305,CUST-000305,None,False,South
306,CUST-000306,None,False,East
307,CUST-000307,None,False,East
308,CUST-000308,Gold,True,East
309,CUST-000309,None,False,West
310,CUST-000310,None,False,North
311,CUST-000311,None,False,West
312,CUST-000312,None,False,East
313,CUST-000313,Silver,True,South
314,CUST-000314,None,False,South
315,CUST-000315,Silver,True,East
316,CUST-000316,None,False,East
317,CUST-000317,None,False,South
318,CUST-000318,Gold,True,North
319,CUST-000319,None,False,North
320,CUST-000320,Silver,True,South
321,CUST-000321,None,False,South
322,CUST-000322,Gold,True,East
323,CUST-000323,None,False,West
324,CUST-000324,None,False,North
325,CUST-000325,Silver,True,South
326,CUST-000326,None,False,North
327,CUST-000327,None,False,West
328,CUST-000328,Gold,True,East
329,CUST-000329,Silver,True,North
330,CUST-000330,Silver,True,South
331,CUST-000331,Silver,True,East
332,CUST-000332,Silver,True,West
333,CUST-000333,Gold,True,East
334,CUST-000334,Silver,True,South
335,CUST-000335,None,False,East
336,CUST-000336,None,False,East
337,CUST-000337,Silver,True,East
338,CUST-000338,Silver,True,North
339,CUST-000339,None,False,East
340,CUST-000340,None,False,North
341,CUST-000341,None,False,West
342,CUST-000342,None,False,West
343,CUST-000343,Silver,True,East
344,CUST-000344,None,False,East
345,CUST-000345,Silver,True,North
346,CUST-000346,Silver,True,West
347,CUST-000347,Gold,True,South
348,CUST-000348,None,False,South
349,CUST-000349,Gold,True,East
350,CUST-000350,Silver,True,West
351,CUST-000351,Silver,True,South
352,CUST-000352,None,False,East
353,CUST-000353,None,False,East
354,CUST-000354,Silver,True,South
355,CUST-000355,None,False,East
356,CUST-000356,None,False,West
357,CUST-000357,Silver,True,South
358,CUST-000358,Silver,True,West
359,CUST-000359,None,False,West
360,CUST-000360,None,False,West
361,CUST-000361,None,False,East
362,CUST-000362,Gold,True,West
363,CUST-000363,Gold,True,East
364,CUST-000364,None,False,West
365,CUST-000365,None,False,East
366,CUST-000366,None,False,West
367,CUST-000367,None,False,West
368,CUST-000368,Gold,True,West
369,CUST-000369,None,False,East
370,CUST-000370,None,False,East
371,CUST-000371,None,False,West
372,CUST-000372,None,False,South
373,CUST-000373,Silver,True,North
374,CUST-000374,Silver,True,West
375,CUST-000375,Silver,True,East
376,CUST-000376,None,False,South
377,CUST-000377,Gold,True,East
378,CUST-000378,None,False,North
379,CUST-000379,Silver,True,South
380,CUST-000380,Gold,True,South
381,CUST-000381,None,False,South
382,CUST-000382,Gold,True,West
383,CUST-000383,None,False,East
384,CUST-000384,Silver,True,North
385,CUST-000385,None,False,South
386,CUST-000386,None,False,North
387,CUST-000387,None,False,West
388,CUST-000388,None,False,South
389,CUST-000389,None,False,South
390,CUST-000390,None,False,South
391,CUST-000391,Silver,True,North
392,CUST-000392,None,False,West
393,CUST-000393,None,False,East
394,CUST-000394,Gold,True,South
395,CUST-000395,Gold,True,South
396,CUST-000396,None,False,East
397,CUST-000397,None,False,North
398,CUST-000398,Silver,True,West
399,CUST-000399,Silver,True,East
400,CUST-000400,None,False,North
401,CUST-000401,Silver,True,East
402,CUST-000402,None,False,West
403,CUST-000403,None,False,North
404,CUST-000404,Silver,True,East
405,CUST-000405,Silver,True,East
406,CUST-000406,Silver,True,West
407,CUST-000407,None,False,East
408,CUST-000408,None,False,East
409,CUST-000409,None,False,West
410,CUST-000410,None,False,West
