product_key,sku,product_name,category,subcategory,brand,unit_cost,unit_price,standard_margin_pct,xyz_class,launch_date,discontinue_date,is_active,abc_class
1,SKU-000001,Audio Item 1,Electronics,Audio,Brand-251,56.79,119.0,52.28,Y,,,True,A
2,SKU-000002,Accessories Item 2,Automotive,Accessories,Brand-141,171.01,474.81,63.98,Y,,,False,C
3,SKU-000003,Desk Item 3,Office & Stationery,Desk,Brand-070,170.15,291.73,41.68,Y,,,True,A
4,SKU-000004,Plush Item 4,Toys & Games,Plush,Brand-280,84.16,157.3,46.5,Z,,,True,A
5,SKU-000005,Educational Item 5,Toys & Games,Educational,Brand-388,183.97,331.39,44.48,Y,,,False,C
6,SKU-000006,Lighting Item 6,Garden & DIY,Lighting,Brand-316,48.06,67.97,29.29,Y,,,True,C
7,SKU-000007,Smart Home Item 7,Electronics,Smart Home,Brand-390,2.44,3.72,34.47,Y,,,True,C
8,SKU-000008,Food Item 8,Pet Supplies,Food,Brand-236,126.3,234.35,46.11,X,,,True,A
9,SKU-000009,Womenswear Item 9,Apparel,Womenswear,Brand-269,218.71,302.48,27.69,Y,,,True,A
10,SKU-000010,Chargers Item 10,Electronics,Chargers,Brand-059,9.94,26.34,62.26,Z,,,True,C
11,SKU-000011,Snacks Item 11,Grocery,Snacks,Brand-341,46.95,67.03,29.95,Y,,,False,C
12,SKU-000012,Toys Item 12,Baby & Nursery,Toys,Brand-299,114.88,171.26,32.92,X,,,True,B
13,SKU-000013,Bedding Item 13,Pet Supplies,Bedding,Brand-102,178.47,402.08,55.61,Y,,,True,A
14,SKU-000014,Accessories Item 14,Automotive,Accessories,Brand-142,20.96,29.47,28.88,Z,,,True,C
15,SKU-000015,Bedding Item 15,Pet Supplies,Bedding,Brand-244,87.86,225.35,61.01,Y,,,True,B
16,SKU-000016,Fluids Item 16,Automotive,Fluids,Brand-006,164.74,358.35,54.03,Y,,,True,A
17,SKU-000017,Snacks Item 17,Grocery,Snacks,Brand-327,82.68,114.43,27.74,Z,,,True,C
18,SKU-000018,Audio Item 18,Electronics,Audio,Brand-112,42.76,90.35,52.67,Y,,,True,B
19,SKU-000019,Lighting Item 19,Garden & DIY,Lighting,Brand-030,44.22,88.91,50.27,Y,,,True,C
20,SKU-000020,Plush Item 20,Toys & Games,Plush,Brand-132,91.1,203.78,55.29,X,,,True,B
21,SKU-000021,Snacks Item 21,Grocery,Snacks,Brand-334,106.25,253.75,58.13,X,,,True,B
22,SKU-000022,Team Sports Item 22,Sports & Outdoors,Team Sports,Brand-110,189.81,410.26,53.73,Z,,,True,C
23,SKU-000023,Menswear Item 23,Apparel,Menswear,Brand-216,141.83,275.12,48.45,Y,,,True,A
24,SKU-000024,Clothing Item 24,Baby & Nursery,Clothing,Brand-324,152.35,245.32,37.9,Y,,,False,C
25,SKU-000025,Electronics Item 25,Automotive,Electronics,Brand-014,216.28,459.1,52.89,Y,,,True,C
26,SKU-000026,Writing Item 26,Office & Stationery,Writing,Brand-304,91.49,249.15,63.28,X,,,True,B
27,SKU-000027,Team Sports Item 27,Sports & Outdoors,Team Sports,Brand-116,89.63,174.04,48.5,Z,,,True,A
28,SKU-000028,Fluids Item 28,Automotive,Fluids,Brand-278,203.25,419.71,51.57,X,,,True,A
29,SKU-000029,Breakfast Item 29,Grocery,Breakfast,Brand-076,55.22,96.01,42.49,Z,,,True,A
30,SKU-000030,Board Games Item 30,Toys & Games,Board Games,Brand-056,160.96,359.65,55.24,Y,,,True,A
31,SKU-000031,Building Item 31,Toys & Games,Building,Brand-315,166.37,474.08,64.91,X,,,True,B
32,SKU-000032,Womenswear Item 32,Apparel,Womenswear,Brand-323,22.87,33.35,31.42,X,,,True,C
33,SKU-000033,Smart Home Item 33,Electronics,Smart Home,Brand-392,103.81,155.16,33.1,Z,,,False,C
34,SKU-000034,Snacks Item 34,Grocery,Snacks,Brand-271,45.32,84.83,46.58,X,,,True,C
35,SKU-000035,Storage Item 35,Garden & DIY,Storage,Brand-186,42.0,75.34,44.26,X,,,True,B
36,SKU-000036,Decor Item 36,Home & Kitchen,Decor,Brand-078,102.85,197.27,47.86,Z,,,True,A
37,SKU-000037,Storage Item 37,Garden & DIY,Storage,Brand-118,64.74,88.64,26.96,Y,,,True,B
38,SKU-000038,Care Item 38,Automotive,Care,Brand-259,175.44,298.22,41.17,Y,,,True,C
39,SKU-000039,Skincare Item 39,Health & Beauty,Skincare,Brand-139,199.81,386.62,48.32,X,,,False,C
40,SKU-000040,Printing Item 40,Office & Stationery,Printing,Brand-193,176.89,342.86,48.41,Z,,,True,A
41,SKU-000041,Accessories Item 41,Electronics,Accessories,Brand-068,59.63,122.43,51.29,X,,,True,B
42,SKU-000042,Electronics Item 42,Automotive,Electronics,Brand-176,61.4,132.93,53.81,X,,,True,C
43,SKU-000043,Accessories Item 43,Pet Supplies,Accessories,Brand-095,57.16,115.85,50.66,Y,,,True,B
44,SKU-000044,Fitness Item 44,Sports & Outdoors,Fitness,Brand-045,31.01,71.47,56.61,X,,,True,C
45,SKU-000045,Cookware Item 45,Home & Kitchen,Cookware,Brand-053,207.72,415.36,49.99,Y,,,True,B
46,SKU-000046,Feeding Item 46,Baby & Nursery,Feeding,Brand-207,89.35,167.01,46.5,X,,,True,A
47,SKU-000047,Board Games Item 47,Toys & Games,Board Games,Brand-147,50.59,99.68,49.25,X,,,True,C
48,SKU-000048,Tools Item 48,Garden & DIY,Tools,Brand-040,186.5,262.85,29.05,Y,,,True,C
49,SKU-000049,Accessories Item 49,Pet Supplies,Accessories,Brand-206,88.72,138.47,35.93,Z,,,True,A
50,SKU-000050,Electronics Item 50,Automotive,Electronics,Brand-066,9.17,17.01,46.1,X,,,True,C
51,SKU-000051,Fluids Item 51,Automotive,Fluids,Brand-007,36.88,92.01,59.92,X,,,True,C
52,SKU-000052,Accessories Item 52,Apparel,Accessories,Brand-053,141.18,295.12,52.16,Z,,,True,A
53,SKU-000053,Apparel Item 53,Sports & Outdoors,Apparel,Brand-179,172.56,241.74,28.62,Z,,,True,C
54,SKU-000054,Building Item 54,Toys & Games,Building,Brand-381,47.59,92.75,48.69,Y,,,True,C
55,SKU-000055,Building Item 55,Toys & Games,Building,Brand-097,201.95,305.38,33.87,X,,,True,C
56,SKU-000056,Bedding Item 56,Home & Kitchen,Bedding,Brand-114,187.44,410.7,54.36,Y,,,True,B
