sales_key,date_key,product_key,location_key,units_sold_qty,unit_price,gross_sales_amount,unit_cost,cogs_amount,order_id,employee_key,customer_key,promotion_key,discount_amount,net_sales_amount,gross_margin_amount
1,20250904,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20250904-0,110,665,,0.0,119.0,62.21
2,20250906,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20250906-1,44,220,11,0.0,119.0,62.21
3,20250911,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20250911-2,46,731,1,0.0,119.0,62.21
4,20250917,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20250917-3,19,1593,10,0.0,119.0,62.21
5,20250919,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20250919-4,66,1643,,0.0,119.0,62.21
6,20250921,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20250921-5,44,655,3,0.0,119.0,62.21
7,20250927,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20250927-6,50,1467,11,0.0,119.0,62.21
8,20250928,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20250928-0,15,1878,8,0.0,119.0,62.21
9,20251003,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251003-1,51,1506,11,0.0,119.0,62.21
10,20251006,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251006-2,94,204,,0.0,119.0,62.21
11,20251007,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251007-3,75,578,5,0.0,119.0,62.21
12,20251014,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251014-4,55,6,4,0.0,119.0,62.21
13,20251019,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251019-5,6,1140,3,0.0,119.0,62.21
14,20251020,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251020-6,79,1254,3,0.0,119.0,62.21
15,20251022,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251022-0,100,365,2,0.0,119.0,62.21
16,20251024,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251024-1,104,217,,0.0,119.0,62.21
17,20251029,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251029-2,46,1152,1,0.0,119.0,62.21
18,20251102,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251102-3,44,1097,8,0.0,119.0,62.21
19,20251103,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251103-4,44,63,6,0.0,119.0,62.21
20,20251104,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251104-5,29,1301,3,0.0,119.0,62.21
21,20251106,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251106-6,7,621,,0.0,119.0,62.21
22,20251108,1,4,2,119.0,238.0,56.79,113.58,ORD-4-20251108-0,116,1498,4,0.0,238.0,124.42
23,20251109,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251109-1,23,1315,9,0.0,119.0,62.21
24,20251110,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251110-2,97,675,5,0.0,119.0,62.21
25,20251111,1,4,2,119.0,238.0,56.79,113.58,ORD-4-20251111-3,95,155,,0.0,238.0,124.42
26,20251115,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251115-4,69,764,7,0.0,119.0,62.21
27,20251116,1,4,2,119.0,238.0,56.79,113.58,ORD-4-20251116-5,77,995,9,0.0,238.0,124.42
28,20251118,1,4,3,119.0,357.0,56.79,170.37,ORD-4-20251118-6,119,1005,7,0.0,357.0,186.63
29,20251120,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251120-0,50,989,,0.0,119.0,62.21
30,20251121,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251121-1,117,1118,8,0.0,119.0,62.21
31,20251125,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251125-2,97,1737,,0.0,119.0,62.21
32,20251127,1,4,2,119.0,238.0,56.79,113.58,ORD-4-20251127-3,51,397,,0.0,238.0,124.42
33,20251128,1,4,2,119.0,238.0,56.79,113.58,ORD-4-20251128-4,63,1547,2,0.0,238.0,124.42
34,20251201,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251201-5,69,1708,5,0.0,119.0,62.21
35,20251203,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251203-6,97,1600,2,0.0,119.0,62.21
36,20251204,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251204-0,84,1085,,0.0,119.0,62.21
37,20251207,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251207-1,40,27,9,0.0,119.0,62.21
38,20251209,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251209-2,14,1574,5,0.0,119.0,62.21
39,20251211,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251211-3,89,1502,11,0.0,119.0,62.21
