transfer_key,transfer_id,transfer_date_key,product_key,source_location_key,dest_location_key,transfer_qty,transfer_cost
1,TRF-000001,20251212,653,1,7,52,64.55
2,TRF-000002,20250930,187,7,3,17,13.51
3,TRF-000003,20251001,683,2,6,34,90.75
4,TRF-000004,20251228,745,6,8,20,32.15
5,TRF-000005,20251104,572,9,10,96,181.17
6,TRF-000006,20250922,93,8,5,12,9.29
7,TRF-000007,20250927,660,1,4,80,226.84
8,TRF-000008,20250927,35,2,6,60,168.87
9,TRF-000009,20251130,104,9,4,54,66.37
10,TRF-000010,20251108,229,4,10,11,30.38
11,TRF-000011,20251231,387,3,5,24,14.82
12,TRF-000012,20251219,205,2,7,114,182.97
13,TRF-000013,20250919,332,3,2,76,62.0
14,TRF-000014,20251113,770,7,5,68,124.67
15,TRF-000015,20251128,422,3,7,78,227.45
16,TRF-000016,20251227,518,3,1,38,78.87
17,TRF-000017,20251211,323,3,9,18,23.29
18,TRF-000018,20250928,269,7,6,102,67.34
19,TRF-000019,20250919,562,3,8,31,57.07
20,TRF-000020,20250909,270,9,6,6,9.08
21,TRF-000021,20250911,292,10,8,26,22.78
22,TRF-000022,20251020,34,1,4,19,11.29
23,TRF-000023,20251214,69,2,8,31,43.56
24,TRF-000024,20250919,210,9,10,16,18.97
25,TRF-000025,20251104,612,1,7,45,90.74
26,TRF-000026,20251001,404,4,9,8,4.82
27,TRF-000027,20251009,211,10,2,68,179.31
28,TRF-000028,20251130,47,4,5,68,193.45
29,TRF-000029,20250907,726,7,8,87,101.38
30,TRF-000030,20250904,409,8,1,71,195.67
31,TRF-000031,20251221,593,5,9,14,26.17
32,TRF-000032,20251006,672,10,5,7,12.0
33,TRF-000033,20251110,134,2,10,61,132.25
34,TRF-000034,20251212,38,8,5,63,152.74
35,TRF-000035,20250909,215,9,8,119,193.01
36,TRF-000036,20251112,517,3,4,12,29.41
37,TRF-000037,20251024,718,3,4,89,101.98
38,TRF-000038,20251012,778,1,9,80,174.52
39,TRF-000039,20251122,546,7,10,64,140.31
40,TRF-000040,20251220,679,10,8,38,66.83
41,TRF-000041,20251116,695,2,10,11,22.62
42,TRF-000042,20251208,666,3,1,24,26.68
43,TRF-000043,20251001,503,8,3,113,149.98
44,TRF-000044,20251125,662,2,5,108,73.86
45,TRF-000045,20251205,754,1,7,42,36.28
46,TRF-000046,20251119,597,1,8,5,6.1
47,TRF-000047,20251205,209,8,9,70,146.08
48,TRF-000048,20250909,186,4,1,35,81.89
49,TRF-000049,20250913,39,9,7,114,326.26
50,TRF-000050,20251228,726,7,8,36,107.32
51,TRF-000051,20251026,100,7,3,79,102.88
52,TRF-000052,20250929,97,2,5,37,85.89
53,TRF-000053,20251016,628,4,8,113,117.32
54,TRF-000054,20251120,493,4,7,41,112.57
55,TRF-000055,20251030,161,8,7,63,79.84
56,TRF-000056,20251102,198,2,8,53,132.75
57,TRF-000057,20250923,188,7,5,42,98.26
58,TRF-000058,20251227,380,1,2,118,172.62
59,TRF-000059,20251108,650,4,1,88,255.25
60,TRF-000060,20251202,327,8,7,44,56.52
61,TRF-000061,20250913,790,8,2,28,21.46
62,TRF-000062,20251025,436,5,1,97,120.01
63,TRF-000063,20251220,472,3,6,88,200.55
64,TRF-000064,20251102,579,1,2,9,10.18
65,TRF-000065,20251023,527,2,3,66,40.81
66,TRF-000066,20250920,175,9,10,93,242.06
67,TRF-000067,20251006,799,6,7,65,174.41
68,TRF-000068,20251212,440,6,5,95,280.12
69,TRF-000069,20251011,527,7,1,34,42.98
70,TRF-000070,20251117,15,1,10,7,14.22
71,TRF-000071,20250906,159,6,10,50,76.23
72,TRF-000072,20251116,220,1,3,106,301.8
73,TRF-000073,20251201,432,1,5,112,122.02
74,TRF-000074,20250926,53,2,4,12,33.33
75,TRF-000075,20251022,731,6,1,110,128.68
76,TRF-000076,20250926,558,1,9,92,228.75
77,TRF-000077,20251112,399,6,1,56,136.49
78,TRF-000078,20251020,798,3,7,102,119.86
79,TRF-000079,20251015,717,8,7,102,65.64
80,TRF-000080,20251224,10,1,8,79,170.28
81,TRF-000081,20251125,541,9,1,60,173.09
82,TRF-000082,20251202,8,5,7,75,64.11
83,TRF-000083,20251016,368,10,9,33,64.29
84,TRF-000084,20250908,294,10,3,92,91.01
85,TRF-000085,20251222,234,5,6,117,64.82
86,TRF-000086,20251206,701,4,3,68,160.23
87,TRF-000087,20251112,116,6,1,83,60.37
88,TRF-000088,20251016,702,1,5,58,150.93
89,TRF-000089,20251126,772,3,5,105,193.0
90,TRF-000090,20251111,240,10,9,5,4.96
91,TRF-000091,20251201,598,4,5,34,45.72
92,TRF-000092,20251224,281,9,5,85,240.36
93,TRF-000093,20251013,88,3,2,87,81.89
94,TRF-000094,20250923,747,8,3,102,79.48
95,TRF-000095,20251013,304,2,3,73,79.46
96,TRF-000096,20251227,80,9,10,90,127.34
97,TRF-000097,20251026,770,6,9,50,42.63
98,TRF-000098,20251101,641,1,10,108,114.82
99,TRF-000099,20251119,206,5,2,73,96.26
100,TRF-000100,20251222,28,10,1,18,49.53
101,TRF-000101,20251030,357,3,4,57,84.35
102,TRF-000102,20251123,205,1,3,85,123.26
103,TRF-000103,20251102,422,10,3,100,178.31
104,TRF-000104,20250913,372,3,10,61,126.02
105,TRF-000105,20251023,643,6,8,87,258.23
106,TRF-000106,20251113,61,4,5,54,147.6
107,TRF-000107,20251011,5,3,1,50,124.91
108,TRF-000108,20250930,715,5,6,13,17.75
109,TRF-000109,20251007,471,9,10,117,94.64
110,TRF-000110,20251116,624,4,9,53,152.7
111,TRF-000111,20251027,644,5,2,102,231.66
112,TRF-000112,20250923,691,7,9,28,30.71
113,TRF-000113,20251025,5,6,4,47,56.11
114,TRF-000114,20251004,268,9,7,92,112.38
115,TRF-000115,20250909,606,6,3,49,70.67
116,TRF-000116,20251107,594,4,5,9,13.45
117,TRF-000117,20251206,548,8,9,92,52.02
118,TRF-000118,20251023,711,1,9,118,71.08
119,TRF-000119,20251116,575,9,7,51,63.53
120,TRF-000120,20251016,563,3,6,83,135.47
121,TRF-000121,20251102,385,3,5,55,86.4
122,TRF-000122,20251002,685,6,7,117,315.94
123,TRF-000123,20251231,204,10,6,56,98.14
124,TRF-000124,20250913,499,2,3,52,37.03
125,TRF-000125,20250905,770,1,10,63,70.16
126,TRF-000126,20251021,569,4,3,88,219.53
127,TRF-000127,20250920,460,7,2,20,12.56
128,TRF-000128,20250924,687,8,2,67,33.97
129,TRF-000129,20250926,90,5,2,49,121.76
130,TRF-000130,20251109,173,6,1,21,39.43
131,TRF-000131,20251129,476,3,7,109,260.04
132,TRF-000132,20251213,137,1,2,66,50.98
133,TRF-000133,20250918,289,5,4,69,97.58
134,TRF-000134,20250907,501,7,4,22,23.81
135,TRF-000135,20251203,597,5,4,105,300.71
136,TRF-000136,20251023,334,2,3,117,271.08
137,TRF-000137,20251020,302,6,5,11,17.64
138,TRF-000138,20251208,338,5,6,56,111.17
139,TRF-000139,20251203,618,4,8,108,169.69
140,TRF-000140,20250908,423,2,6,86,247.02
141,TRF-000141,20251222,508,4,10,69,198.83
142,TRF-000142,20251231,583,8,6,37,84.51
143,TRF-000143,20251202,623,7,4,116,135.86
144,TRF-000144,20251128,289,8,2,91,259.71
145,TRF-000145,20251225,185,2,3,86,198.23
146,TRF-000146,20250928,8,2,6,43,74.53
147,TRF-000147,20250922,436,6,8,32,34.46
148,TRF-000148,20251030,240,9,5,73,196.21
149,TRF-000149,20251122,579,2,6,43,84.29
150,TRF-000150,20251022,481,7,4,58,43.56
151,TRF-000151,20251221,303,5,8,55,55.56
152,TRF-000152,20251224,66,2,4,73,86.4
153,TRF-000153,20251213,215,10,1,29,27.94
154,TRF-000154,20251021,398,3,9,83,181.31
155,TRF-000155,20250905,238,7,2,104,170.67
156,TRF-000156,20250924,199,9,8,42,81.74
157,TRF-000157,20251204,332,5,7,46,104.09
158,TRF-000158,20251019,627,9,8,51,101.86
159,TRF-000159,20251118,484,1,2,24,26.21
160,TRF-000160,20251025,758,8,4,43,23.94
161,TRF-000161,20250906,632,6,3,50,53.09
162,TRF-000162,20251109,735,10,8,89,129.12
163,TRF-000163,20251020,365,10,9,86,151.07
164,TRF-000164,20251029,372,4,5,20,16.33
165,TRF-000165,20251210,95,8,10,51,95.82
166,TRF-000166,20251222,667,10,5,96,152.52
167,TRF-000167,20251030,715,10,6,60,63.03
168,TRF-000168,20251211,627,6,3,50,84.51
169,TRF-000169,20251124,252,3,9,64,153.61
170,TRF-000170,20251109,718,3,1,104,248.55
171,TRF-000171,20251015,579,3,10,61,51.44
172,TRF-000172,20251114,70,5,1,97,141.67
173,TRF-000173,20251118,430,2,10,54,152.58
174,TRF-000174,20251209,765,1,7,45,73.42
175,TRF-000175,20251009,590,2,6,79,223.29
176,TRF-000176,20250908,655,1,8,28,35.58
177,TRF-000177,20251118,136,8,9,69,175.57
178,TRF-000178,20251012,232,7,4,8,11.22
179,TRF-000179,20251206,209,5,10,75,86.06
180,TRF-000180,20251025,518,9,10,85,85.61
181,TRF-000181,20251122,210,10,9,58,88.94
182,TRF-000182,20251013,110,10,6,69,130.78
183,TRF-000183,20251214,585,8,1,112,242.85
184,TRF-000184,20251224,614,10,1,104,147.74
185,TRF-000185,20250908,754,6,7,61,70.74
186,TRF-000186,20251022,403,9,1,9,24.92
187,TRF-000187,20251221,580,9,10,97,282.58
188,TRF-000188,20251020,748,3,7,64,183.4
189,TRF-000189,20251019,609,7,8,113,103.29
190,TRF-000190,20250915,200,2,5,86,138.82
191,TRF-000191,20250910,14,8,5,76,177.87
192,TRF-000192,20251220,540,9,10,82,183.46
193,TRF-000193,20251107,25,2,5,97,262.46
194,TRF-000194,20251122,540,10,7,67,126.3
195,TRF-000195,20250929,88,3,4,103,284.75
196,TRF-000196,20251206,181,4,7,118,251.88
197,TRF-000197,20251223,163,10,5,85,127.34
198,TRF-000198,20251108,435,10,4,12,32.52
199,TRF-000199,20251031,541,4,3,102,198.98
200,TRF-000200,20251201,597,1,6,20,44.19
201,TRF-000201,20250904,196,10,3,108,295.19
202,TRF-000202,20251005,743,4,3,36,98.28
203,TRF-000203,20251208,441,7,1,17,42.44
204,TRF-000204,20250904,463,7,2,112,119.79
205,TRF-000205,20251030,523,6,2,65,190.12
206,TRF-000206,20250908,259,3,4,20,21.4
207,TRF-000207,20251015,377,5,2,15,23.73
208,TRF-000208,20251117,266,4,9,60,150.01
209,TRF-000209,20251030,193,5,2,86,54.7
210,TRF-000210,20251009,254,10,1,99,155.77
211,TRF-000211,20251022,20,7,5,14,38.5
212,TRF-000212,20251001,284,1,6,27,45.98
213,TRF-000213,20251127,634,2,1,34,94.17
214,TRF-000214,20251028,260,6,3,76,146.46
215,TRF-000215,20251015,687,2,9,75,116.3
216,TRF-000216,20250925,513,6,10,16,45.98
217,TRF-000217,20251012,608,9,1,9,18.12
218,TRF-000218,20251209,565,4,1,111,113.32
219,TRF-000219,20250911,466,1,3,70,123.26
220,TRF-000220,20251216,416,3,7,46,108.83
221,TRF-000221,20251013,679,8,4,53,154.91
222,TRF-000222,20251105,150,7,8,45,27.98
223,TRF-000223,20250906,682,3,5,119,63.54
224,TRF-000224,20251111,774,9,6,32,21.53
225,TRF-000225,20251114,61,4,10,12,24.29
