date_key,full_date,day_of_week,day_name,is_weekend,week_of_year,month_number,month_name,quarter,year,fiscal_year,fiscal_quarter,season,is_holiday,holiday_name
20210101,2021-01-01,5,Friday,False,53,1,January,1,2021,2020,FQ4,Winter,True,New Year
20210102,2021-01-02,6,Saturday,True,53,1,January,1,2021,2020,FQ4,Winter,False,
20210103,2021-01-03,7,Sunday,True,53,1,January,1,2021,2020,FQ4,Winter,False,
20210104,2021-01-04,1,Monday,False,1,1,January,1,2021,2020,FQ4,Winter,False,
20210105,2021-01-05,2,Tuesday,False,1,1,January,1,2021,2020,FQ4,Winter,False,
20210106,2021-01-06,3,Wednesday,False,1,1,January,1,2021,2020,FQ4,Winter,False,
20210107,2021-01-07,4,Thursday,False,1,1,January,1,2021,2020,FQ4,Winter,False,
20210108,2021-01-08,5,Friday,False,1,1,January,1,2021,2020,FQ4,Winter,False,
20210109,2021-01-09,6,Saturday,True,1,1,January,1,2021,2020,FQ4,Winter,False,
20210110,2021-01-10,7,Sunday,True,1,1,January,1,2021,2020,FQ4,Winter,False,
20210111,2021-01-11,1,Monday,False,2,1,January,1,2021,2020,FQ4,Winter,False,
20210112,2021-01-12,2,Tuesday,False,2,1,January,1,2021,2020,FQ4,Winter,False,
20210113,2021-01-13,3,Wednesday,False,2,1,January,1,2021,2020,FQ4,Winter,False,
20210114,2021-01-14,4,Thursday,False,2,1,January,1,2021,2020,FQ4,Winter,False,
20210115,2021-01-15,5,Friday,False,2,1,January,1,2021,2020,FQ4,Winter,False,
20210116,2021-01-16,6,Saturday,True,2,1,January,1,2021,2020,FQ4,Winter,False,
20210117,2021-01-17,7,Sunday,True,2,1,January,1,2021,2020,FQ4,Winter,False,
20210118,2021-01-18,1,Monday,False,3,1,January,1,2021,2020,FQ4,Winter,False,
20210119,2021-01-19,2,Tuesday,False,3,1,January,1,2021,2020,FQ4,Winter,False,
20210120,2021-01-20,3,Wednesday,False,3,1,January,1,2021,2020,FQ4,Winter,False,
20210121,2021-01-21,4,Thursday,False,3,1,January,1,2021,2020,FQ4,Winter,False,
20210122,2021-01-22,5,Friday,False,3,1,January,1,2021,2020,FQ4,Winter,False,
20210123,2021-01-23,6,Saturday,True,3,1,January,1,2021,2020,FQ4,Winter,False,
20210124,2021-01-24,7,Sunday,True,3,1,January,1,2021,2020,FQ4,Winter,False,
20210125,2021-01-25,1,Monday,False,4,1,January,1,2021,2020,FQ4,Winter,False,
20210126,2021-01-26,2,Tuesday,False,4,1,January,1,2021,2020,FQ4,Winter,False,
20210127,2021-01-27,3,Wednesday,False,4,1,January,1,2021,2020,FQ4,Winter,False,
20210128,2021-01-28,4,Thursday,False,4,1,January,1,2021,2020,FQ4,Winter,False,
20210129,2021-01-29,5,Friday,False,4,1,January,1,2021,2020,FQ4,Winter,False,
20210130,2021-01-30,6,Saturday,True,4,1,January,1,2021,2020,FQ4,Winter,False,
20210131,2021-01-31,7,Sunday,True,4,1,January,1,2021,2020,FQ4,Winter,False,
20210201,2021-02-01,1,Monday,False,5,2,February,1,2021,2021,FQ1,Winter,False,
20210202,2021-02-02,2,Tuesday,False,5,2,February,1,2021,2021,FQ1,Winter,False,
20210203,2021-02-03,3,Wednesday,False,5,2,February,1,2021,2021,FQ1,Winter,False,
20210204,2021-02-04,4,Thursday,False,5,2,February,1,2021,2021,FQ1,Winter,False,
20210205,2021-02-05,5,Friday,False,5,2,February,1,2021,2021,FQ1,Winter,False,
20210206,2021-02-06,6,Saturday,True,5,2,February,1,2021,2021,FQ1,Winter,False,
20210207,2021-02-07,7,Sunday,True,5,2,February,1,2021,2021,FQ1,Winter,False,
20210208,2021-02-08,1,Monday,False,6,2,February,1,2021,2021,FQ1,Winter,False,
20210209,2021-02-09,2,Tuesday,False,6,2,February,1,2021,2021,FQ1,Winter,False,
20210210,2021-02-10,3,Wednesday,False,6,2,February,1,2021,2021,FQ1,Winter,False,
20210211,2021-02-11,4,Thursday,False,6,2,February,1,2021,2021,FQ1,Winter,False,
20210212,2021-02-12,5,Friday,False,6,2,February,1,2021,2021,FQ1,Winter,False,
20210213,2021-02-13,6,Saturday,True,6,2,February,1,2021,2021,FQ1,Winter,False,
20210214,2021-02-14,7,Sunday,True,6,2,February,1,2021,2021,FQ1,Winter,False,
20210215,2021-02-15,1,Monday,False,7,2,February,1,2021,2021,FQ1,Winter,False,
20210216,2021-02-16,2,Tuesday,False,7,2,February,1,2021,2021,FQ1,Winter,False,
20210217,2021-02-17,3,Wednesday,False,7,2,February,1,2021,2021,FQ1,Winter,False,
20210218,2021-02-18,4,Thursday,False,7,2,February,1,2021,2021,FQ1,Winter,False,
20210219,2021-02-19,5,Friday,False,7,2,February,1,2021,2021,FQ1,Winter,False,
20210220,2021-02-20,6,Saturday,True,7,2,February,1,2021,2021,FQ1,Winter,False,
20210221,2021-02-21,7,Sunday,True,7,2,February,1,2021,2021,FQ1,Winter,False,
20210222,2021-02-22,1,Monday,False,8,2,February,1,2021,2021,FQ1,Winter,False,
20210223,2021-02-23,2,Tuesday,False,8,2,February,1,2021,2021,FQ1,Winter,False,
20210224,2021-02-24,3,Wednesday,False,8,2,February,1,2021,2021,FQ1,Winter,False,
20210225,2021-02-25,4,Thursday,False,8,2,February,1,2021,2021,FQ1,Winter,False,
20210226,2021-02-26,5,Friday,False,8,2,February,1,2021,2021,FQ1,Winter,False,
20210227,2021-02-27,6,Saturday,True,8,2,February,1,2021,2021,FQ1,Winter,False,
20210228,2021-02-28,7,Sunday,True,8,2,February,1,2021,2021,FQ1,Winter,False,
20210301,2021-03-01,1,Monday,False,9,3,March,1,2021,2021,FQ1,Spring,False,
20210302,2021-03-02,2,Tuesday,False,9,3,March,1,2021,2021,FQ1,Spring,False,
20210303,2021-03-03,3,Wednesday,False,9,3,March,1,2021,2021,FQ1,Spring,False,
20210304,2021-03-04,4,Thursday,False,9,3,March,1,2021,2021,FQ1,Spring,False,
20210305,2021-03-05,5,Friday,False,9,3,March,1,2021,2021,FQ1,Spring,False,
20210306,2021-03-06,6,Saturday,True,9,3,March,1,2021,2021,FQ1,Spring,False,
20210307,2021-03-07,7,Sunday,True,9,3,March,1,2021,2021,FQ1,Spring,False,
20210308,2021-03-08,1,Monday,False,10,3,March,1,2021,2021,FQ1,Spring,False,
