employee_key,employee_id,employee_name,role,home_location_key,is_active
1,EMP-00001,Employee 1,Shift Lead,5,True
2,EMP-00002,Employee 2,Sales Associate,5,True
3,EMP-00003,Employee 3,Shift Lead,4,True
4,EMP-00004,Employee 4,Cashier,4,True
5,EMP-00005,Employee 5,Cashier,2,True
6,EMP-00006,Employee 6,Sales Associate,1,True
7,EMP-00007,Employee 7,Cashier,3,True
8,EMP-00008,Employee 8,Cashier,4,True
9,EMP-00009,Employee 9,Store Manager,7,True
10,EMP-00010,Employee 10,Cashier,4,True
11,EMP-00011,Employee 11,Cashier,2,True
12,EMP-00012,Employee 12,Cashier,3,True
13,EMP-00013,Employee 13,Cashier,5,True
14,EMP-00014,Employee 14,Sales Associate,4,True
15,EMP-00015,Employee 15,Store Manager,8,True
16,EMP-00016,Employee 16,Store Manager,4,True
17,EMP-00017,Employee 17,Sales Associate,5,True
18,EMP-00018,Employee 18,Sales Associate,1,True
19,EMP-00019,Employee 19,Cashier,2,True
20,EMP-00020,Employee 20,Shift Lead,7,True
21,EMP-00021,Employee 21,Cashier,3,True
22,EMP-00022,Employee 22,Cashier,4,True
23,EMP-00023,Employee 23,Store Manager,5,True
24,EMP-00024,Employee 24,Shift Lead,1,True
25,EMP-00025,Employee 25,Cashier,5,True
26,EMP-00026,Employee 26,Sales Associate,3,True
27,EMP-00027,Employee 27,Cashier,2,True
28,EMP-00028,Employee 28,Cashier,4,True
29,EMP-00029,Employee 29,Cashier,4,True
30,EMP-00030,Employee 30,Cashier,2,True
31,EMP-00031,Employee 31,Sales Associate,5,True
32,EMP-00032,Employee 32,Cashier,6,True
33,EMP-00033,Employee 33,Sales Associate,3,True
34,EMP-00034,Employee 34,Cashier,8,True
35,EMP-00035,Employee 35,Store Manager,5,True
36,EMP-00036,Employee 36,Sales Associate,7,True
37,EMP-00037,Employee 37,Shift Lead,1,True
38,EMP-00038,Employee 38,Cashier,7,True
39,EMP-00039,Employee 39,Sales Associate,3,True
40,EMP-00040,Employee 40,Shift Lead,6,True
41,EMP-00041,Employee 41,Cashier,7,True
