promotion_key,promotion_id,promotion_name,promotion_type,discount_pct,applies_to_level,start_date,is_active,end_date
1,PROMO-0001,Campaign 1,PERCENT_OFF,20,STORE,2024-08-21,True,2024-08-29
2,PROMO-0002,Campaign 2,MARKDOWN,40,SKU,2021-08-13,True,2021-09-03
3,PROMO-0003,Campaign 3,MARKDOWN,40,CATEGORY,2022-11-21,True,2022-12-18
4,PROMO-0004,Campaign 4,PERCENT_OFF,20,STORE,2022-04-23,True,2022-05-06
5,PROMO-0005,Campaign 5,BUNDLE,30,SKU,2025-11-21,True,2025-12-12
6,PROMO-0006,Campaign 6,PERCENT_OFF,40,STORE,2025-09-16,True,2025-10-11
7,PROMO-0007,Campaign 7,BOGO,40,CATEGORY,2024-06-16,True,2024-07-01
8,PROMO-0008,Campaign 8,BOGO,30,STORE,2023-03-16,True,2023-04-01
9,PROMO-0009,Campaign 9,MARKDOWN,25,CATEGORY,2021-04-06,True,2021-04-17
10,PROMO-0010,Campaign 10,BUNDLE,40,SKU,2022-03-27,True,2022-04-11
11,PROMO-0011,Campaign 11,PERCENT_OFF,15,STORE,2021-06-19,True,2021-07-14
12,PROMO-0012,Campaign 12,BOGO,20,SKU,2024-12-12,True,2025-01-01
