po_line_key,po_number,order_date_key,expected_date_key,received_date_key,product_key,supplier_key,dest_location_key,ordered_qty,received_qty,unit_cost,po_line_amount,lead_time_days,is_late_flag,is_complete_flag,is_otif_flag
1,PO-0000001,20250904,20250911,20250911.0,1,10,4,12,12,56.79,681.48,7,False,True,True
2,PO-0000002,20251019,20251026,20251027.0,1,10,4,12,12,56.79,681.48,8,False,True,True
3,PO-0000003,20251110,20251117,20251116.0,1,10,4,12,12,56.79,681.48,6,False,True,True
4,PO-0000004,20251127,20251204,20251202.0,1,10,4,12,12,56.79,681.48,5,False,True,True
5,PO-0000005,20251218,20251225,20251226.0,1,10,4,12,12,56.79,681.48,8,False,True,True
6,PO-0000006,20251230,20251231,,1,10,4,12,0,56.79,681.48,6,False,False,False
7,PO-0000007,20250903,20250910,20250909.0,1,10,6,12,10,56.79,681.48,6,False,False,False
8,PO-0000008,20250919,20250926,20250924.0,1,10,6,12,12,56.79,681.48,5,False,True,True
9,PO-0000009,20251102,20251109,20251108.0,1,10,6,12,12,56.79,681.48,6,False,True,True
10,PO-0000010,20251117,20251124,20251125.0,1,10,6,12,12,56.79,681.48,8,False,True,True
11,PO-0000011,20251206,20251213,20251212.0,1,10,6,12,10,56.79,681.48,6,False,False,False
12,PO-0000012,20251222,20251229,20251230.0,1,10,6,12,12,56.79,681.48,8,False,True,True
13,PO-0000013,20251109,20251116,20251115.0,3,36,8,10,10,170.15,1701.5,6,False,True,True
14,PO-0000014,20251230,20251231,,3,36,8,10,0,170.15,1701.5,9,False,False,False
15,PO-0000015,20250905,20250912,20250913.0,3,36,10,10,10,170.15,1701.5,8,True,True,False
16,PO-0000016,20251010,20251017,20251020.0,3,36,10,10,10,170.15,1701.5,10,False,True,True
17,PO-0000017,20251122,20251129,20251128.0,3,36,10,10,10,170.15,1701.5,6,False,True,True
18,PO-0000018,20251206,20251213,20251211.0,3,36,10,10,10,170.15,1701.5,5,False,True,True
19,PO-0000019,20251221,20251228,20251227.0,3,36,10,10,10,170.15,1701.5,6,False,True,True
20,PO-0000020,20251026,20251102,20251103.0,3,36,7,10,10,170.15,1701.5,8,False,True,True
21,PO-0000021,20250905,20250912,20250922.0,3,36,1,10,10,170.15,1701.5,17,True,True,False
22,PO-0000022,20251118,20251125,20251122.0,3,36,1,10,10,170.15,1701.5,4,False,True,True
23,PO-0000023,20251026,20251102,20251101.0,3,36,2,10,10,170.15,1701.5,6,False,True,True
24,PO-0000024,20251214,20251221,20251218.0,3,36,2,10,10,170.15,1701.5,4,False,True,True
25,PO-0000025,20250907,20250914,20250913.0,3,36,6,10,10,170.15,1701.5,6,False,True,True
26,PO-0000026,20251213,20251220,20251227.0,3,36,6,10,10,170.15,1701.5,14,True,True,False
27,PO-0000027,20250905,20250917,20250924.0,4,2,2,10,10,84.16,841.6,19,False,True,True
28,PO-0000028,20251010,20251022,20251019.0,4,2,2,10,10,84.16,841.6,9,False,True,True
29,PO-0000029,20251106,20251118,20251117.0,4,2,2,10,10,84.16,841.6,11,True,True,False
30,PO-0000030,20251219,20251231,20251228.0,4,2,2,10,8,84.16,841.6,9,False,False,False
31,PO-0000031,20250903,20250915,20250912.0,4,2,8,10,10,84.16,841.6,9,False,True,True
32,PO-0000032,20251005,20251017,20251017.0,4,2,8,10,10,84.16,841.6,12,False,True,True
33,PO-0000033,20251102,20251114,20251113.0,4,2,8,10,10,84.16,841.6,11,False,True,True
34,PO-0000034,20251124,20251206,20251203.0,4,2,8,10,10,84.16,841.6,9,False,True,True
35,PO-0000035,20251211,20251223,20251223.0,4,2,8,10,10,84.16,841.6,12,False,True,True
36,PO-0000036,20250903,20250915,20250925.0,4,2,7,10,10,84.16,841.6,22,True,True,False
37,PO-0000037,20251001,20251013,20251011.0,4,2,7,10,10,84.16,841.6,10,False,True,True
38,PO-0000038,20251024,20251105,20251109.0,4,2,7,10,10,84.16,841.6,16,False,True,True
39,PO-0000039,20251128,20251210,20251214.0,4,2,7,10,10,84.16,841.6,16,False,True,True
40,PO-0000040,20251222,20251231,,4,2,7,10,0,84.16,841.6,17,False,False,False
41,PO-0000041,20250903,20250915,20250918.0,4,2,3,10,10,84.16,841.6,15,False,True,True
42,PO-0000042,20250922,20251004,20251007.0,4,2,3,10,10,84.16,841.6,15,False,True,True
