return_key,return_id,return_date_key,product_key,location_key,customer_key,original_order_id,returned_qty,refund_amount,return_reason_code
1,RET-0000001,20251122,29,7,560,ORD-7-20251122-2,1,96.01,Changed Mind
2,RET-0000002,20251202,208,6,1199,ORD-6-20251202-3,1,258.23,Defective
3,RET-0000003,20251121,542,7,1123,ORD-7-20251121-0,1,20.42,Changed Mind
4,RET-0000004,20251008,166,10,1388,ORD-10-20251008-4,1,230.22,Damaged in Transit
5,RET-0000005,20251226,265,10,822,ORD-10-20251226-0,1,385.69,Changed Mind
6,RET-0000006,20251102,742,10,124,ORD-10-20251102-4,1,368.24,Not As Described
7,RET-0000007,20251212,136,3,623,ORD-3-20251212-5,1,233.99,Changed Mind
8,RET-0000008,20251104,299,9,1262,ORD-9-20251104-5,1,259.44,Not As Described
9,RET-0000009,20251121,342,1,1389,ORD-1-20251121-2,1,8.97,Defective
10,RET-0000010,20251121,148,9,878,ORD-9-20251121-2,1,331.7,Defective
11,RET-0000011,20251218,555,6,1460,ORD-6-20251218-1,1,299.24,Changed Mind
12,RET-0000012,20251002,644,10,647,ORD-10-20251002-0,1,297.28,Wrong Item
13,RET-0000013,20251113,598,3,559,ORD-3-20251113-0,1,139.18,Damaged in Transit
14,RET-0000014,20251230,421,3,217,ORD-3-20251230-6,1,9.48,Changed Mind
15,RET-0000015,20251128,412,2,1205,ORD-2-20251128-4,1,52.77,Changed Mind
16,RET-0000016,20251111,331,1,868,ORD-1-20251111-3,1,70.64,Wrong Item
17,RET-0000017,20251109,357,1,1814,ORD-1-20251109-0,1,281.45,Changed Mind
18,RET-0000018,20251231,482,7,1596,ORD-7-20251231-3,1,525.33,Not As Described
19,RET-0000019,20251129,18,8,942,ORD-8-20251129-6,1,90.35,Defective
20,RET-0000020,20251225,501,9,769,ORD-9-20251225-6,1,245.47,Damaged in Transit
21,RET-0000021,20251022,134,8,1082,ORD-8-20251022-2,1,324.49,Changed Mind
22,RET-0000022,20251007,556,7,1723,ORD-7-20251007-5,1,113.68,Wrong Item
23,RET-0000023,20251009,486,10,1829,ORD-10-20251009-2,1,106.87,Not As Described
24,RET-0000024,20251016,162,8,1893,ORD-8-20251016-5,1,323.95,Damaged in Transit
25,RET-0000025,20251129,562,7,861,ORD-7-20251129-3,1,117.91,Defective
26,RET-0000026,20251004,565,3,129,ORD-3-20251004-5,1,143.14,Changed Mind
27,RET-0000027,20251111,632,1,1915,ORD-1-20251111-2,1,38.79,Defective
28,RET-0000028,20250928,156,2,778,ORD-2-20250928-6,1,28.87,Not As Described
29,RET-0000029,20251112,109,8,988,ORD-8-20251112-1,1,274.02,Not As Described
30,RET-0000030,20251122,502,9,904,ORD-9-20251122-6,1,170.96,Not As Described
31,RET-0000031,20251201,278,3,1322,ORD-3-20251201-6,1,88.75,Defective
32,RET-0000032,20250926,341,5,461,ORD-5-20250926-6,1,317.48,Changed Mind
33,RET-0000033,20251120,572,6,1308,ORD-6-20251120-3,1,333.36,Changed Mind
34,RET-0000034,20251022,470,2,470,ORD-2-20251022-3,1,11.06,Defective
